CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,CO_UF_RESIDENCIA,SG_UF_RESIDENCIA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
1100015,Alta Floresta D'Oeste,11,RO,466.8774535809018,493.41221374045807,504.9984732824422,503.0000000000003,555.7760814249364
1100023,Ariquemes,11,RO,463.5428449014569,489.9603332011104,506.9998016660066,498.9710368466148,524.1491471638238
1100031,Cabixi,11,RO,454.453125,474.1522388059703,486.2238805970148,497.4437499999999,492.8358208955224
1100049,Cacoal,11,RO,469.1656569343057,494.6640630352855,510.1851318944836,510.68463503649673,538.6570743405276
1100056,Cerejeiras,11,RO,468.3811643835617,488.4565359477127,507.60490196078433,505.1756849315069,552.2222222222222
1100064,Colorado do Oeste,11,RO,468.0423357664235,495.3724381625439,506.3374558303889,506.0500000000004,533.2862190812721
1100072,Corumbiara,11,RO,465.9741379310345,478.87500000000017,486.4687499999998,487.5413793103449,526.25
1100080,Costa Marques,11,RO,430.9549382716048,458.5977900552484,477.5889502762431,467.35925925925926,456.7955801104972
1100098,Espigão D'Oeste,11,RO,465.17767145135576,496.649850299401,503.51152694610727,507.8586921850076,533.1736526946107
1100106,Guajará-Mirim,11,RO,438.7718918918917,465.4071293375399,486.31343848580417,466.37547297297294,466.3470031545741
1100114,Jaru,11,RO,452.8748407643312,481.7564278704615,501.1434739941122,487.5970276008493,512.4043179587832
1100122,Ji-Paraná,11,RO,462.9698124621895,488.6777526821008,506.0216826651617,502.062129461584,532.0158102766799
1100130,Machadinho D'Oeste,11,RO,460.3831134564644,480.5436450839325,494.7100719424459,490.687071240105,516.3069544364508
1100148,Nova Brasilândia D'Oeste,11,RO,455.240293040293,482.67602739725993,497.8958904109594,502.4571428571427,530.8904109589041
1100155,Ouro Preto do Oeste,11,RO,458.003211009174,485.89729729729737,501.2762446657182,494.24617737003103,518.9758179231864
1100189,Pimenta Bueno,11,RO,457.8337579617832,482.8216881594373,503.86447831184057,500.3026751592362,527.2684642438453
1100205,Porto Velho,11,RO,460.06117544370295,490.0612711130335,506.01150931139,494.0952400349147,532.4058033780858
1100254,Presidente Médici,11,RO,460.5406976744184,488.117001828154,501.5241316270568,493.06298449612393,527.6051188299817
1100262,Rio Crespo,11,RO,445.5914893617021,470.32000000000016,489.632,475.15957446808494,494.0
1100288,Rolim de Moura,11,RO,462.8783765347889,489.1703254626676,506.476834716018,494.1606412005452,513.694958519464
1100296,Santa Luzia D'Oeste,11,RO,456.02585034013606,491.82179487179496,501.533974358974,488.56802721088405,534.4871794871794
1100304,Vilhena,11,RO,469.7072049054672,497.345852968897,514.5012252591895,506.7741951967295,519.971724787936
1100320,São Miguel do Guaporé,11,RO,451.344807121662,475.1794037940373,492.0490514905149,487.9875370919879,517.7235772357724
1100338,Nova Mamoré,11,RO,433.827654320988,464.84183908046,482.0531034482762,468.51333333333366,467.6781609195402
1100346,Alvorada D'Oeste,11,RO,450.7631147540984,476.857835820896,499.7287313432834,486.7229508196722,516.044776119403
1100379,Alto Alegre dos Parecis,11,RO,448.5709876543208,487.0236994219656,493.6271676300578,481.7444444444442,509.2485549132948
1100403,Alto Paraíso,11,RO,446.8445945945946,478.1047904191615,496.5473053892217,490.529054054054,504.9101796407186
1100452,Buritis,11,RO,448.2081677704192,476.83822314049615,496.0545454545455,482.2690949227373,490.8677685950413
1100502,Novo Horizonte do Oeste,11,RO,460.2690789473684,479.558598726115,499.0382165605091,506.1177631578946,520.0
1100601,Cacaulândia,11,RO,456.356338028169,480.9405063291141,498.1569620253167,479.523943661972,525.0632911392405
1100700,Campo Novo de Rondônia,11,RO,445.86761904761926,466.8412844036696,487.4642201834863,485.0723809523809,548.9908256880734
1100809,Candeias do Jamari,11,RO,453.3584295612007,477.69297872340417,495.0772340425536,482.9808314087767,509.5744680851064
1100908,Castanheiras,11,RO,423.3056603773585,472.2703703703704,480.0259259259259,465.266037735849,505.1851851851852
1100924,Chupinguaia,11,RO,433.8349206349207,463.02058823529416,481.0970588235293,463.326984126984,445.88235294117646
1100940,Cujubim,11,RO,430.2514970059879,461.38579545454536,483.5835227272724,481.4520958083835,492.3863636363636
1101005,Governador Jorge Teixeira,11,RO,433.9953125,463.5714285714289,483.26842105263165,475.3468749999999,485.7142857142857
1101104,Itapuã do Oeste,11,RO,444.3000000000001,470.2386740331493,485.4756906077346,473.55889570552125,453.4806629834254
1101203,Ministro Andreazza,11,RO,455.85740740740727,478.1589285714285,487.447619047619,492.5148148148148,544.5238095238095
1101302,Mirante da Serra,11,RO,451.3713636363639,481.1699152542377,499.2347457627117,487.9354545454548,522.542372881356
1101401,Monte Negro,11,RO,439.1738219895286,476.503,489.418,478.72303664921486,502.1
1101435,Nova União,11,RO,450.30909090909097,483.9269662921349,502.1247191011234,487.5397727272728,548.7640449438202
1101450,Parecis,11,RO,466.0469387755104,486.694,496.56200000000007,485.1816326530612,565.6
1101468,Pimenteiras do Oeste,11,RO,437.440909090909,441.3279999999999,467.508,484.34090909090907,453.6
1101476,Primavera de Rondônia,11,RO,452.1098901098902,465.3686868686871,491.61818181818177,482.82637362637377,531.5151515151515
1101484,São Felipe D'Oeste,11,RO,460.5961038961041,483.3160493827162,500.541975308642,505.44285714285695,590.1234567901234
1101492,São Francisco do Guaporé,11,RO,445.87499999999983,470.7612676056335,492.5169014084504,484.1795454545454,524.8591549295775
1101500,Seringueiras,11,RO,445.4364640883979,468.6167512690356,482.4842639593908,489.4093922651936,497.25888324873097
